Norma_Marca,Diametro_mm,Peso_kg_m,Rotura_kgf,Rotura_kN,Tipo
DIN 655 Comp. A (6x19),6.5,0.135,2300,22.56,Convencional DIN
DIN 655 Comp. A (6x19),8.0,0.21,3600,35.32,Convencional DIN
DIN 655 Comp. A (6x19),9.5,0.3,5150,50.52,Convencional DIN
DIN 655 Comp. A (6x19),11.0,0.41,7000,68.67,Convencional DIN
DIN 655 Comp. A (6x19),12.5,0.54,9150,89.76,Convencional DIN
DIN 655 Comp. A (6x19),14.0,0.68,11600,113.8,Convencional DIN
DIN 655 Comp. A (6x19),16.0,0.85,14300,140.29,Convencional DIN
DIN 655 Comp. A (6x19),17.5,1.02,17350,170.2,Convencional DIN
DIN 655 Comp. A (6x19),19.0,1.22,20600,202.09,Convencional DIN
DIN 655 Comp. A (6x19),20.0,1.43,24200,237.4,Convencional DIN
DIN 655 Comp. A (6x19),22.0,1.66,28050,275.17,Convencional DIN
DIN 655 Comp. B (6x37),9.0,0.26,4450,43.65,Convencional DIN
DIN 655 Comp. B (6x37),10.0,0.34,5650,55.43,Convencional DIN
DIN 655 Comp. B (6x37),11.0,0.41,7000,68.67,Convencional DIN
DIN 655 Comp. B (6x37),12.0,0.5,8450,82.89,Convencional DIN
DIN 655 Comp. B (6x37),13.0,0.59,10050,98.59,Convencional DIN
DIN 655 Comp. B (6x37),14.0,0.7,11800,115.76,Convencional DIN
DIN 655 Comp. B (6x37),15.0,0.81,13650,133.91,Convencional DIN
DIN 655 Comp. B (6x37),16.0,0.93,15700,154.02,Convencional DIN
DIN 655 Comp. B (6x37),18.0,1.14,19300,189.33,Convencional DIN
DIN 655 Comp. B (6x37),19.0,1.34,22600,221.71,Convencional DIN
DIN 655 Comp. B (6x37),21.0,1.65,27900,273.7,Convencional DIN
DIN 655 Comp. B (6x37),24.0,2.0,33750,331.09,Convencional DIN
DIN 655 Comp. B (6x37),26.0,2.38,40200,394.36,Convencional DIN
DIN 655 Comp. B (6x37),28.0,2.8,47150,462.54,Convencional DIN
DIN 655 Comp. B (6x37),30.0,3.24,54600,535.63,Convencional DIN
DIN 655 Comp. B (6x37),32.0,3.72,62750,615.58,Convencional DIN
DIN 655 Comp. B (6x37),35.0,4.24,71400,700.43,Convencional DIN
DIN 655 Comp. B (6x37),37.0,4.78,80600,790.69,Convencional DIN
DIN 655 Comp. B (6x37),40.0,5.36,90400,886.82,Convencional DIN
DIN 655 Comp. B (6x37),42.0,5.97,100700,987.87,Convencional DIN
DIN 655 Comp. B (6x37),44.0,6.82,111600,1094.79,Convencional DIN
DIN 655 Comp. C (8x37),16.0,0.84,13400,131.45,Convencional DIN
DIN 655 Comp. C (8x37),19.0,1.14,18200,178.54,Convencional DIN
DIN 655 Comp. C (8x37),20.0,1.3,20900,205.03,Convencional DIN
DIN 655 Comp. C (8x37),21.0,1.49,23800,233.48,Convencional DIN
DIN 655 Comp. C (8x37),23.0,1.68,26900,263.89,Convencional DIN
DIN 655 Comp. C (8x37),24.0,1.95,31300,307.05,Convencional DIN
DIN 655 Comp. C (8x37),25.0,2.15,34400,337.46,Convencional DIN
DIN 655 Comp. C (8x37),27.0,2.32,37200,364.93,Convencional DIN
DIN 655 Comp. C (8x37),30.0,2.81,45000,441.45,Convencional DIN
DIN 655 Comp. C (8x37),32.0,3.35,53550,525.33,Convencional DIN
DIN 655 Comp. C (8x37),35.0,3.93,62850,616.56,Convencional DIN
DIN 655 Comp. C (8x37),37.0,4.56,72900,715.15,Convencional DIN
DIN 655 Comp. C (8x37),40.0,5.23,83700,821.09,Convencional DIN
DIN 655 Comp. C (8x37),43.0,5.95,95200,933.91,Convencional DIN
DIN 655 Comp. C (8x37),45.0,6.72,107500,1054.58,Convencional DIN
DIN 655 Comp. C (8x37),48.0,7.52,120350,1180.63,Convencional DIN
DIN 655 Comp. C (8x37),51.0,8.39,134300,1317.48,Convencional DIN
DIN 655 Comp. C (8x37),54.0,9.3,148800,1459.73,Convencional DIN
DIN 655 Comp. C (8x37),58.0,11.25,180000,1765.8,Convencional DIN
DIN 656 Seale A (6x19),8.0,0.24,4150,40.71,Convencional DIN
DIN 656 Seale A (6x19),10.0,0.37,6450,63.27,Convencional DIN
DIN 656 Seale A (6x19),12.0,0.55,9250,90.74,Convencional DIN
DIN 656 Seale A (6x19),14.0,0.74,12600,123.61,Convencional DIN
DIN 656 Seale A (6x19),16.0,0.94,16500,161.87,Convencional DIN
DIN 656 Seale A (6x19),18.0,1.24,20850,204.54,Convencional DIN
DIN 656 Seale A (6x19),20.0,1.54,25750,252.61,Convencional DIN
DIN 656 Seale A (6x19),22.0,1.87,31200,306.07,Convencional DIN
DIN 656 Seale A (6x19),24.0,2.22,37100,363.95,Convencional DIN
DIN 656 Seale A (6x19),26.0,2.61,43500,426.74,Convencional DIN
DIN 656 Seale A (6x19),28.0,3.03,50400,494.42,Convencional DIN
DIN 656 Seale A (6x19),30.0,3.48,58150,570.45,Convencional DIN
